Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Widener, Daniel",HITO 155 - Race/Sport/Inequality 20th Cen (A),FA15,68,28,88.9 %,96.3 %,4.42,B+ (3.47),A- (3.70)
"Gutierrez, David G",HIUS 136 - Citizenship & Civil Rts/20th c (A),SP14,33,11,81.8 %,90.9 %,5.7,A- (3.75),A- (3.70)
"O'Keefe, Amy Merrill",HIEA 131 - China/War & Revolution 1911-49 (A),S117,24,21,90.5 %,95.2 %,7.2,B+ (3.67),A- (3.71)
"Ringrose, David R.",HIEU 138 - Imperial Spain 1476-1808 (A),WI09,36,18,100.0 %,100.0 %,4.61,A- (3.76),A- (3.71)
"Ringrose, David R.","HITO 117 - World History, 1200-1800 (A)",WI08,23,11,100.0 %,100.0 %,3.95,A- (3.75),A- (3.72)
"Parrish, Michael E.",HIEU 121GS - Scotl/Engl Civil War 1601-1689 (A),S115,20,9,100.0 %,100.0 %,6.72,A- (3.75),A- (3.73)
"Gallant, Thomas W.",HIEU 117GS - Tradtl Greek Society:Ethnogrph (A),S114,25,4,100.0 %,100.0 %,4,A (4.00),A- (3.73)
"Hunefeldt, Christine",HILA 106 - Changes Contin/Latin Amer Hist (A),WI14,10,3,66.7 %,66.7 %,3.17,B+ (3.67),A- (3.73)
"Man, Simeon S",HILD 7B - Race & Ethnicity/United States (A),WI17,367,228,89.6 %,93.7 %,3.94,B+ (3.70),A- (3.74)
"Graham, Jessica Lynn",HILA 121B - History of Brazil 1889-Present (A),WI13,24,10,100.0 %,100.0 %,4.7,B+ (3.56),A- (3.74)
"Pickowicz, Paul G.",HIEA 133 - 20th C China/Cultural History (A),SP12,39,19,100.0 %,100.0 %,10.92,A- (3.84),A- (3.74)
"Rosenfeld, Susan Alexandra",HIAF 112 - West Africa Since 1880 (A),WI17,27,12,100.0 %,100.0 %,3.59,B+ (3.50),A- (3.75)
"Biess, Frank Peter",HIEU 154GS - Mod German/Bismarck to Hitler (A),S216,28,13,100.0 %,100.0 %,6,A- (3.75),A- (3.75)
"Radcliff, Pamela B.",HIEU 151GS - Spain Since 1808 (A),S115,24,12,90.9 %,100.0 %,8.86,A- (3.73),A- (3.75)
"Widener, Daniel",HIUS 114 - California History (A),S214,34,11,100.0 %,90.9 %,5.59,B+ (3.60),A- (3.75)
"Pickowicz, Paul G.",HIEA 133 - 20th C China/Cultural History (A),WI14,21,10,100.0 %,100.0 %,7.7,A- (3.90),A- (3.76)
"Graham, Jessica Lynn",HILA 121A - History of Brazil through 1889 (A),WI14,35,15,100.0 %,100.0 %,3.3,A- (3.85),A- (3.76)
"Frolich, Margrit Luise",HIEU 145 - The Holocaust as Public Histry (A),SP17,56,23,91.3 %,95.7 %,5.14,B+ (3.50),A- (3.77)
"Reynolds, Edward",HIAF 123 - W Africa/Earliest Times - 1800 (A),SP14,23,8,100.0 %,100.0 %,7,A- (3.75),A- (3.77)
"Ringrose, David R.",HIEU 126 - Age of Expansion/1400-1600 (A),WI10,56,19,89.5 %,94.7 %,2.94,A- (3.84),A- (3.77)
"Watts, Edward J.",HIEU 161 - Topics in Roman History (B),WI14,13,6,83.3 %,100.0 %,6.5,B+ (3.50),A- (3.78)
"Patterson, Patrick H.",HIEU 152GS - Everyday Life/Dictatorial Soc (A),S215,23,21,95.2 %,100.0 %,8.5,B+ (3.57),A- (3.79)
